Regulation	Section	Subsection	Sub-subsection	Article	Text	Explanation	
EBA/GL/2017/16	1. Compliance and reporting obligations	Status of these guidelines	-	1	This document contains guidelines issued pursuant to Article 16 of Regulation (EU) No 1093/20109. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities and financial institutions must make every effort to comply with the guidelines.	explain this to me as im a 4 year old 	
EBA/GL/2017/17	1. Compliance and reporting obligations	Status of these guidelines	-	2	Guidelines set out the EBA’s view of appropriate supervisory practices within the European System of Financial Supervision or of how Union law should be applied in a particular area. Competent authorities as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom guidelines apply should comply by incorporating them into their practices as appropriate (e.g. by amending their legal framework or their supervisory processes), including where guidelines are directed primarily at institutions.	explain this to me as im a 4 year old 	
EBA/GL/2017/18	1. Compliance and reporting obligations	Reporting requirements	-	3	In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must notify the EBA as to whether they comply or intend to comply with these guidelines, or otherwise give reasons for non-compliance, by ([dd.mm.yyyy]). In the absence of any notification by this deadline, competent authorities will be considered by the EBA to be non-compliant. Notifications should be sent by submitting the form available on the EBA website to compliance@eba.europa.eu with the reference ‘EBA/GL/201x/xx’. Notifications should be submitted by persons with appropriate authority to report compliance on behalf of their competent authorities. Any change in the status of compliance must also be reported to the EBA.	explain this to me as im a 4 year old 	
EBA/GL/2017/19	1. Compliance and reporting obligations	Reporting requirements	-	4	Notifications will be published on the EBA website, in line with Article 16(3).	explain this to me as im a 4 year old 	
EBA/GL/2017/20	2. Subject matter, scope and definitions	2.1 Subject matter	-	5	These guidelines specify the requirements for the estimation of probability of default (PD) and loss given default (LGD), including LGD for defaulted exposures (LGD in-default) and best estimate of expected loss (ELBE) in accordance with Part Three, Title II, Chapter 3, Section 6 of Regulation (EU) No 575/2013, Article 159 of that Regulation and the EBA final draft regulatory technical standards on the IRB assessment methodology EBA/RTS/2016/03 [RTS on IRB assessment methodology] of 21 July 2016.	explain this to me as im a 4 year old 	
EBA/GL/2017/21	2. Subject matter, scope and definitions	2.2. Scope of application	-	6	These guidelines apply in relation to the IRB Approach in accordance with Part Three, Title II,Chapter 3 of Regulation (EU) No 575/2013 for all methods based on own estimates of PD andLGD. Where, for exposures other than retail, an institution has received permission to use theIRB Approach but has not received permission to use own estimates of LGD in accordancewith Article 143(2) in conjunction with Article 151(8) to (9) of that Regulation, all parts ofthese guidelines apply, except Chapters 6 and 7. These guidelines do not apply to thecalculation of own funds requirements for dilution risk in accordance with Article 157 ofRegulation (EU) No 575/2013.	explain this to me as im a 4 year old 	
EBA/GL/2017/22	2. Subject matter, scope and definitions	2.3 Addressees	-	7	These guidelines are addressed to competent authorities as defined in point (i) of Article 4(2)of Regulation (EU) No 1093/2010 and to financial institutions as defined in Article 4(1) ofRegulation (EU) No 1093/2010.	explain this to me as im a 4 year old 	
EBA/GL/2017/23	2. Subject matter, scope and definitions	2.4 Definitions	-	8	Unless otherwise specified, terms used and defined in Regulation (EU) No 575/2013 andDirective 2013/36/EU have the same meaning in these guidelines. In addition, for thepurposes of these guidelines, the following definitions apply:	explain this to me as im a 4 year old 	
EBA/GL/2017/24	3. Implementation	3.1 Date of application	-	9	These guidelines apply from 1 January 2021. Institutions should incorporate the requirementsof these guidelines in their rating systems by that time, but competent authorities mayaccelerate the timeline of this transition at their discretion.	explain this to me as im a 4 year old 	
EBA/GL/2017/25	3. Implementation	3.2 First application of the guidelines 	-	10	The internal validation function should verify the changes which are applied to the ratingsystems as a result of the application of these guidelines and the regulatory technicalstandards to be developed in accordance with Article 144(2) of Regulation (EU) No 575/2013,and the classification of the changes in accordance with Commission Delegated Regulation(EU) No 529/201411.	explain this to me as im a 4 year old 	
EBA/GL/2017/26	3. Implementation	3.2 First application of the guidelines 	-	11	Institutions that need to obtain prior permission from competent authorities in accordancewith Article 143(3) of Regulation (EU) No 575/2013 and Regulation (EU) No 529/2014 for thechanges in the rating systems required to incorporate these guidelines for the first time bythe deadline referred to in paragraph 9 should agree with their competent authorities thefinal deadline for submitting the application for such prior permission.	explain this to me as im a 4 year old 	
EBA/GL/2017/27	4. General estimation requirements 	4.1 Principles for specifying the range of application of the rating systems	-	12	A rating system in the sense of point (1) of Article 142(1) of Regulation (EU) No 575/2013should cover all those exposures where the obligors or facilities show common drivers of riskand credit-worthiness and fundamentally comparable availability of credit-relatedinformation. The PD and LGD model within a rating system may comprise various calibrationsegments. Where all obligors or exposures within the range of application of the PD or LGDmodel are jointly calibrated the whole scope of application of the model is considered onecalibration segment.	explain this to me as im a 4 year old 	
EBA/GL/2017/28	4. General estimation requirements 	4.1 Principles for specifying the range of application of the rating systems	-	13	Exposures covered by the same rating system should be treated similarly by the institution interms of risk management, decision making and credit approval process and should beassigned to a common obligor rating scale for the purposes of Article 170(1)(b) of Regulation(EU) No 575/2013 and a common facility rating scale for the purposes of Article 170(1)(e) ofthat Regulation.	explain this to me as im a 4 year old 	
EBA/GL/2017/29	4. General estimation requirements 	4.1 Principles for specifying the range of application of the rating systems	-	14	For the purpose of quantification of various risk parameters within a rating system,institutions should apply the same definition of default for the same historical observationsused in different models. Institutions should also apply the same treatment of multipledefaults of the same obligor or exposure across internal, external and pooled data sources.	explain this to me as im a 4 year old 	
EBA/GL/2017/30	4. General estimation requirements 	4.2. Data requirements	4.2.1. Quality of data	15	In order to comply with the requirement of Article 76 of the RTS on IRB assessmentmethodology that institutions should have sound policies, processes and methods forassessing and improving the quality of data used for the purpose of credit risk measurementand management processes, institutions should ensure that those policies apply to all dataused in model development and calibration, as well as to the data used in the application ofthe risk parameters.	explain this to me as im a 4 year old 	
EBA/GL/2017/31	4. General estimation requirements 	4.2. Data requirements	4.2.1. Quality of data	16	In order for the data used in the model development and in the application of risk parametersas inputs into the model to meet the requirements of accuracy, completeness andappropriateness specified in Article 174(b) of Regulation (EU) No 575/2013, it should besufficiently precise to avoid material distortions of the outcome of the assignment ofexposures to obligors or facility grades or pools, and it should not contain any biases whichmake the data unfit for purpose.	explain this to me as im a 4 year old 	
